콜드브루,스타벅스,콜드브루,4500
아이스 커피,스타벅스,에스프레소&라떼,4100
오늘의 커피,스타벅스,에스프레소&라떼,3800
아이스 카페 아메리카노,스타벅스,에스프레소&라떼,4100
카페 아메리카노,스타벅스,에스프레소&라떼,4100
에스프레소,스타벅스,에스프레소&라떼,3600
콜드 브루 오트 라떼,스타벅스,콜드브루,5600
나이트로 바닐라 크림,스타벅스,콜드브루,5900
벨벳 다크 모카 나이트로 ,스타벅스,콜드브루,8500
포레스트 콜드 브루,스타벅스,콜드브루,5900
프렌치 애플 타르트 나이트로,스타벅스,콜드브루,8500
나이트로 콜드 브루 ,스타벅스,콜드브루,5800
돌체 콜드 브루 ,스타벅스,콜드브루,5800
바닐라 크림 콜드 브루,스타벅스,콜드브루,5500
콜드 브루 몰트,스타벅스,콜드브루,8500
콜드 브루 플로트,스타벅스,콜드브루,8000
제주 별다방 땅콩 라떼,스타벅스,에스프레소&라떼,7200
에스프레소 콘 파나,스타벅스,에스프레소&라떼,3800
에스프레소 마키아또,스타벅스,에스프레소&라떼,3600
아이스 카라멜 마키아또,스타벅스,에스프레소&라떼,5600
카라멜 마키아또,스타벅스,에스프레소&라떼,5600
아이스 카푸치노,스타벅스,에스프레소&라떼,4600
카푸치노,스타벅스,에스프레소&라떼,4600
스타벅스 돌체 라떼,스타벅스,에스프레소&라떼,5600
아이스 스타벅스 돌체 라떼,스타벅스,에스프레소&라떼,5600
아이스 카페 라떼,스타벅스,에스프레소&라떼,4600
카페 라떼,스타벅스,에스프레소&라떼,4600
아이스 카페 모카,스타벅스,에스프레소&라떼,5100
아이스 화이트 초콜릿 모카,스타벅스,에스프레소&라떼,5600
카페 모카,스타벅스,에스프레소&라떼,5100
화이트 초콜릿 모카,스타벅스,에스프레소&라떼,5600
바닐라 플랫 화이트,스타벅스,에스프레소&라떼,5600
바닐라 스타벅스 더블 샷,스타벅스,에스프레소&라떼,4800
블론드 바닐라 더블 샷 마키아또,스타벅스,에스프레소&라떼,5500
커피 스타벅스 더블 샷,스타벅스,에스프레소&라떼,4800
클래식 아포가토,스타벅스,에스프레소&라떼,7000
헤이즐넛 스타벅스 더블 샷,스타벅스,에스프레소&라떼,4800
아이스 제주 유기농 말차로 만든 라떼,스타벅스,라떼,6100
아이스 차이 티 라떼,스타벅스,라떼,5100
제주 유기농 말차로 만든 라떼,스타벅스,라떼,6100
차이 티 라떼,스타벅스,라떼,5100
